id,sujet,questionId,reponseChoisie,illustration,estCorrect,certitude,tempsSecondes
2026-03-17-11-10-20,relativite,1,0,False,True,4,89.44
2026-03-17-11-10-20,relativite,2,1,False,False,3,67.31
2026-03-17-11-10-20,relativite,3,2,False,False,3,70.55
2026-03-17-11-10-20,relativite,4,1,False,False,3,44.31
2026-03-17-11-10-20,relativite,5,1,False,False,1,59.87
2026-03-17-11-10-20,relativite,6,1,False,True,3,61.77
2026-03-17-11-10-20,relativite,7,0,False,False,2,30.30
2026-03-17-11-10-20,relativite,8,1,False,True,1,50.34
2026-03-17-11-10-20,relativite,9,3,False,False,1,62.46
2026-03-17-11-10-20,relativite,10,2,False,True,2,71.11
2026-03-17-11-10-20,relativite,11,0,False,False,2,68.26
2026-03-17-11-10-20,relativite,12,0,False,False,1,19.73
2026-03-17-11-10-20,relativite,13,2,False,True,7,50.15
2026-03-17-11-10-20,relativite,14,1,False,True,5,77.72
2026-03-17-11-10-20,reseaux,1,1,True,True,7,25.40
2026-03-17-11-10-20,reseaux,2,1,True,True,6,18.45
2026-03-17-11-10-20,reseaux,3,3,True,False,1,85.44
2026-03-17-11-10-20,reseaux,4,0,True,True,3,37.99
2026-03-17-11-10-20,reseaux,5,1,True,True,1,102.02
2026-03-17-11-10-20,reseaux,6,1,True,True,3,48.03
2026-03-17-11-10-20,reseaux,7,0,True,False,3,57.30
2026-03-17-11-10-20,reseaux,8,2,True,True,7,29.49
2026-03-17-11-10-20,reseaux,9,1,True,True,1,20.05
2026-03-17-11-10-20,reseaux,10,2,True,True,7,13.33
2026-03-17-11-10-20,reseaux,11,1,True,True,4,62.87
2026-03-17-11-10-20,reseaux,12,1,True,True,5,19.25
2026-03-17-11-10-20,reseaux,13,1,True,True,1,56.82
2026-03-17-11-10-20,reseaux,14,1,True,True,7,18.59
2026-03-27-13-25-20,relativite,1,3,False,False,2,37.74
2026-03-27-13-25-20,relativite,2,2,False,True,7,17.36
2026-03-27-13-25-20,relativite,3,1,False,True,3,44.80
2026-03-27-13-25-20,relativite,4,3,False,True,7,14.74
2026-03-27-13-25-20,relativite,5,3,False,True,2,23.42
2026-03-27-13-25-20,relativite,6,1,False,True,5,36.07
2026-03-27-13-25-20,relativite,7,2,False,True,7,12.56
2026-03-27-13-25-20,relativite,8,1,False,True,7,12.06
2026-03-27-13-25-20,relativite,9,0,False,False,6,27.85
2026-03-27-13-25-20,relativite,10,2,False,True,7,8.06
2026-03-27-13-25-20,relativite,11,3,False,True,3,21.05
